Time, Date, Latitude, Longitude, PM low pulse occupancy, PM ration, PM concentration, Ozone, Temperature, Humidity, 
20:5:35.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 370, 33.10, 22.50, 
20:5:38.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 95, 29.60, 23.40, 
20:5:40.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 94, 29.30, 22.20, 
20:5:42.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 95, 29.00, 22.40, 
20:5:44.984 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 94, 28.60, 21.90, 
20:5:47.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 94, 28.20, 24.50, 
20:5:48.984 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 94, 27.90, 25.40, 
20:5:51.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 94, 27.60, 30.50, 
20:5:54.0 29/4/2015, 38.4331, -78.8620, 85489, 8.55, 4855.59, 93, 27.80, 29.40, 
20:5:56.0 29/4/2015, 38.4331, -78.8620, 33864, 3.39, 1760.69, 242, 27.70, 29.50, 
20:5:58.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 93, 28.00, 30.60, 
20:6:0.984 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 93, 28.80, 31.60, 
20:6:3.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 90, 29.30, 30.70, 
20:6:4.984 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 94, 29.90, 28.70, 
20:6:7.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 95, 30.10, 3304.30, 
20:6:10.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 94, 30.20, 129.10, 
20:6:12.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 93, 30.00, 26.80, 
20:6:14.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 92, 29.70, 25.30, 
20:6:16.984 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 93, 29.40, 24.50, 
20:6:19.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 91, 29.20, 25.20, 
20:6:20.984 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 93, 28.60, 22.70, 
20:6:24.0 29/4/2015, 38.4331, -78.8620, 64686, 6.47, 3503.02, 92, 27.80, 21.10, 
20:6:26.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 92, 27.60, 123.40, 
20:6:28.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 91, 129.60, 21.90, 
20:6:30.0 29/4/2015, 38.4331, -78.8620, 0, 0.00, 0.62, 90, 27.00, 21.80, 
20:6:32.984 29/4/2015, 38.4332, -78.8620, 0, 0.00, 0.62, 91, 26.90, 21.20, 
20:6:35.0 29/4/2015, 38.4332, -78.8620, 0, 0.00, 0.62, 90, 26.80, 22.20, 
20:6:36.984 29/4/2015, 38.4332, -78.8620, 31812, 3.18, 1651.80, 89, 27.00, 24.90, 
20:6:40.0 29/4/2015, 38.4332, -78.8620, 0, 0.00, 0.62, 88, 27.00, 25.90, 
20:6:42.0 29/4/2015, 38.4333, -78.8620, 0, 0.00, 0.62, 89, -999.00, -999.00, 
20:6:44.0 29/4/2015, 38.4333, -78.8621, 0, 0.00, 0.62, 88, 26.10, 22.30, 
20:6:46.0 29/4/2015, 38.4333, -78.8621, 105564, 10.56, 6360.50, 89, 25.80, 21.90, 
20:6:48.984 29/4/2015, 38.4334, -78.8621, 67269, 6.73, 3661.49, 88, 25.70, 227.40, 
20:6:51.0 29/4/2015, 38.4334, -78.8621, 78659, 7.87, 4391.12, 87, 25.70, 22.30, 
20:6:52.984 29/4/2015, 38.4335, -78.8621, 0, 0.00, 0.62, 88, 25.50, 22.40, 
20:6:56.0 29/4/2015, 38.4335, -78.8621, 67495, 6.75, 3675.47, 86, 25.50, 22.00, 
20:6:58.0 29/4/2015, 38.4336, -78.8621, 0, 0.00, 0.62, 88, 25.50, 21.90, 
20:7:0.0 29/4/2015, 38.4336, -78.8621, 0, 0.00, 0.62, 87, 25.40, 21.60, 
20:7:2.0 29/4/2015, 38.4336, -78.8621, 863, 0.09, 45.47, 87, 25.30, 22.50, 
20:7:4.984 29/4/2015, 38.4337, -78.8621, 0, 0.00, 0.62, 87, 25.30, 23.20, 
20:7:7.0 29/4/2015, 38.4337, -78.8621, 74482, 7.45, 4117.39, 87, 25.10, 22.70, 
20:7:8.984 29/4/2015, 38.4337, -78.8621, 0, 0.00, 0.62, 88, 24.90, 22.70, 
20:7:12.0 29/4/2015, 38.4338, -78.8621, 96511, 9.65, 5654.08, 89, 24.80, 22.70, 
20:7:14.0 29/4/2015, 38.4338, -78.8621, 49887, 4.99, 2636.74, 89, 24.90, 22.90, 
20:7:16.0 29/4/2015, 38.4338, -78.8621, 0, 0.00, 0.62, 90, 24.90, 23.10, 
20:7:19.0 29/4/2015, 38.4338, -78.8621, 0, 0.00, 0.62, 90, 844.20, 23.80, 
20:7:20.984 29/4/2015, 38.4338, -78.8621, 2721, 0.27, 141.85, 88, 25.10, 23.70, 
20:7:23.0 29/4/2015, 38.4338, -78.8621, 0, 0.00, 0.62, 89, 127.40, 23.50, 
20:7:24.984 29/4/2015, 38.4339, -78.8621, 0, 0.00, 0.62, 60, 229.80, 23.50, 
20:7:28.0 29/4/2015, 38.4339, -78.8621, 47571, 4.76, 2506.74, 89, 844.30, 23.50, 
20:7:30.0 29/4/2015, 38.4339, -78.8621, 88124, 8.81, 5040.76, 90, 25.00, 23.60, 
20:7:32.0 29/4/2015, 38.4339, -78.8622, 136213, 13.62, 9158.67, 89, 25.00, 23.70, 
20:7:35.0 29/4/2015, 38.4339, -78.8622, 0, 0.00, 0.62, 84, 24.90, 433.40, 
