date,time,latitude,longitude,ozone,pm
6/4/2015,0:0:36.0,38.4342447917,-78.8620768229,186,5753.34
6/4/2015,0:0:38.0,38.4342529297,-78.8620361328,220,30058.57
6/4/2015,0:0:41.0,38.4342285156,-78.8619954427,157,490.17
6/4/2015,0:0:43.0,38.4342285156,-78.8619628906,64,12766.58
6/4/2015,0:0:45.0,38.4342285156,-78.8619222005,75,15248.52
6/4/2015,0:0:48.0,38.4342203776,-78.8618733724,277,2578.31
6/4/2015,0:0:50.0,38.4342122396,-78.8618408203,0,369.49
6/4/2015,0:0:52.0,38.4343383789,-78.8617350260,270,15106.11
6/4/2015,0:0:54.0,38.4343587240,-78.8616943359,324,16034.14
6/4/2015,0:0:57.0,38.4343668620,-78.8616455078,259,16894.37
6/4/2015,0:0:59.0,38.4343627930,-78.8616129557,146,17652.11
6/4/2015,0:1:1.0,38.4343668620,-78.8615885417,498,3330.64
6/4/2015,0:1:4.0,38.4343668620,-78.8615397135,338,1444.73
6/4/2015,0:1:6.0,38.4343627930,-78.8615152995,283,13901.64
6/4/2015,0:1:8.0,38.4343627930,-78.8614827474,405,20010.95
6/4/2015,0:1:11.0,38.4343587240,-78.8614176432,127,17683.32
6/4/2015,0:1:13.0,38.4343546549,-78.8613606771,76,19652.21
6/4/2015,0:1:15.0,38.4343465169,-78.8613281250,314,4547.89
6/4/2015,0:1:18.0,38.4343383789,-78.8612630208,302,5214.27
6/4/2015,0:1:20.0,38.4343221029,-78.8612304688,270,16210.68
6/4/2015,0:1:22.0,38.4343017578,-78.8611979167,71,14580.23
6/4/2015,0:1:25.0,38.4342692057,-78.8611490885,338,4323.65
6/4/2015,0:1:27.0,38.4342569987,-78.8611002604,383,24845.74
6/4/2015,0:1:29.0,38.4342569987,-78.8610514323,659,11641.89
6/4/2015,0:1:31.0,38.4342610677,-78.8610107422,444,20897.56
6/4/2015,0:1:34.0,38.4342651367,-78.8609619141,441,19261.28
6/4/2015,0:1:36.0,38.4342651367,-78.8609293620,490,20558.05
6/4/2015,0:1:38.0,38.4342692057,-78.8608968099,448,21562.59
6/4/2015,0:1:41.0,38.4342651367,-78.8608398438,514,4546.13
6/4/2015,0:1:43.0,38.4342692057,-78.8607828776,615,34216.51
6/4/2015,0:1:45.0,38.4342814128,-78.8607503255,855,22878
6/4/2015,0:1:48.0,38.4342976888,-78.8607014974,696,13360.46
6/4/2015,0:1:50.0,38.4343098958,-78.8606689453,1023,16176.6
6/4/2015,0:1:52.0,38.4343180339,-78.8606282552,603,40644.21
